Time,Two Wheeler1,Auto1,Car1,Bus1,LMV1,Total1,Two Wheeler2,Auto2,Car2,Bus2,LMV2,Total2,Two Wheeler3,Auto3,Car3,Bus3,LMV3,Total3
7.00-7.15,780,55,288,24,2,1149,298,31,120,10,1,460,295,30,102,10,0,437
7.15-7.30,795,58,292,26,3,1174,290,28,112,12,2,444,288,28,112,10,2,440
7.30-7.45,802,64,304,26,1,1197,307,26,108,11,1,453,301,26,105,11,0,443
7.45-8.00,815,68,306,28,2,1219,294,25,114,12,1,446,284,25,114,12,0,435
8.00-8.15,798,60,280,30,1,1169,298,34,115,15,2,464,298,29,112,15,2,456
8.15-8.30,811,65,292,31,0,1199,308,32,108,18,2,468,312,32,108,18,2,472
8.30-8.45,830,68,308,32,0,1238,310,29,126,21,2,488,316,27,121,21,0,485
8.45-9.00,839,72,324,28,3,1266,321,33,128,24,1,507,321,29,118,24,0,492
9.00-9.15,845,78,318,28,2,1271,318,29,129,25,2,503,318,28,132,17,2,497
9.15-9.30,858,70,301,28,3,1260,315,38,131,25,2,511,315,36,131,25,2,509
9.30-9.45,754,60,296,26,2,1138,270,28,125,22,3,448,288,28,120,23,1,460
9.45-10.00,620,68,316,5,4,1013,304,39,116,22,1,482,289,37,118,27,1,472
5.00-5.15,600,56,318,18,0,992,458,42,167,10,1,678,225,28,86,15,0,354
5.15-5.30,612,54,320,24,0,1010,477,46,154,12,0,689,230,22,94,16,0,362
5.30-5.45,623,62,321,26,2,1034,472,41,168,12,1,694,229,26,98,18,0,371
5.45-6.00,628,56,336,32,0,1052,479,47,168,12,0,706,225,30,102,21,0,378
6.00-6.15,619,48,328,30,0,1025,468,43,172,10,2,695,236,32,115,17,0,400
6.15-6.30,636,52,335,28,2,1053,478,45,178,11,1,713,224,35,116,15,1,391
6.30-6.45,642,56,326,29,2,1055,490,47,184,12,0,733,233,35,108,14,0,390
6.45-7.00,648,64,315,30,0,1057,495,45,189,12,1,742,242,29,96,19,1,387
7.00-7.15,672,66,319,32,0,1089,469,50,194,13,2,728,246,39,88,18,0,391
7.15-7.30,649,72,342,31,1,1095,492,53,189,15,1,750,239,29,80,24,0,372
7.30-7.45,650,65,304,25,1,1045,489,53,179,11,1,733,235,38,75,22,1,371
7.45-8.00,681,39,344,19,2,1085,455,45,198,14,2,714,230,39,87,10,0,366
7.00-7.15,795,55,288,24,2,1164,285,29,102,6,0,422,285,32,102,9,0,428
7.15-7.30,790,58,292,27,3,1170,278,28,112,8,2,428,277,27,112,11,2,429
7.30-7.45,802,60,304,26,2,1194,292,27,108,11,0,438,292,29,108,12,0,441
7.45-8.00,815,59,306,28,2,1210,294,25,114,12,0,445,293,24,114,13,0,444
8.00-8.15,798,60,280,30,1,1169,298,31,115,15,2,461,298,31,115,15,2,461
8.15-8.30,799,65,292,31,0,1187,304,32,108,18,2,464,303,32,108,19,2,464
8.30-8.45,811,68,308,32,0,1219,306,29,121,21,0,477,306,29,121,21,0,477
8.45-9.00,839,69,316,28,2,1254,321,33,128,24,0,506,311,31,128,21,0,491
9.00-9.15,821,78,308,28,2,1237,318,35,132,27,2,514,318,34,132,27,2,513
9.15-9.30,858,70,301,28,3,1260,315,38,131,25,2,511,315,37,131,24,2,509
9.30-9.45,800,48,300,26,2,1176,270,28,120,28,3,449,274,29,120,27,2,452
9.45-10.00,620,68,316,16,1,1021,279,39,89,22,1,430,312,41,89,24,1,467
5.00-5.15,600,56,318,18,1,993,460,40,160,10,0,670,227,29,86,15,0,357
5.15-5.30,612,54,320,24,1,1011,477,45,154,8,0,684,229,28,94,16,0,367
5.30-5.45,623,62,321,26,2,1034,456,42,158,6,1,663,230,26,98,18,1,373
5.45-6.00,628,56,327,29,0,1040,455,47,168,12,0,682,226,30,98,19,1,374
6.00-6.15,619,48,328,28,2,1025,468,43,172,10,2,695,233,32,87,17,1,370
6.15-6.30,636,52,335,28,2,1053,478,45,178,11,0,712,225,29,82,12,1,349
6.30-6.45,642,56,326,29,2,1055,490,47,184,12,0,733,233,35,99,14,0,381
6.45-7.00,650,64,315,30,1,1060,495,51,189,12,0,747,242,29,96,19,1,387
7.00-7.15,672,66,319,32,0,1089,469,49,194,13,2,727,246,38,88,17,0,389
7.15-7.30,612,69,333,31,3,1048,498,53,202,15,0,768,243,29,80,29,0,381
7.30-7.45,650,65,304,25,1,1045,504,52,179,11,0,746,235,38,75,24,1,373
7.45-8.00,681,48,344,23,2,1098,455,31,202,14,1,703,235,37,87,18,1,378
7.00-7.15,800,55,288,24,2,1169,286,30,104,12,1,433,298,25,65,15,0,403
7.15-7.30,788,58,292,26,3,1167,277,28,112,11,2,430,300,27,72,14,0,413
7.30-7.45,802,64,304,26,1,1197,294,26,110,11,2,443,304,29,75,12,0,420
7.45-8.00,815,68,306,28,2,1219,294,25,114,12,2,447,312,30,84,10,0,436
8.00-8.15,798,60,280,30,1,1169,298,29,115,15,2,459,316,32,90,18,0,456
8.15-8.30,808,65,292,31,0,1196,301,29,108,18,2,458,300,28,96,20,0,444
8.30-8.45,830,68,308,32,0,1238,306,29,119,21,1,476,302,33,98,21,1,455
8.45-9.00,839,72,324,28,3,1266,320,33,128,24,0,505,328,35,104,23,0,490
9.00-9.15,835,78,318,28,2,1261,318,35,129,27,2,511,316,42,116,18,1,493
9.15-9.30,840,70,301,28,3,1242,315,38,131,25,2,511,325,36,110,24,1,496
9.30-9.45,754,60,296,26,2,1138,289,28,120,28,3,468,306,25,124,26,0,481
9.45-10.00,694,68,316,5,4,1087,289,39,111,22,2,463,343,31,150,26,0,550
5.00-5.15,712,56,318,18,1,1105,462,44,161,10,2,679,226,28,86,15,0,355
5.15-5.30,612,54,320,24,1,1011,478,45,158,14,3,698,229,18,94,16,0,357
5.30-5.45,623,62,341,26,2,1054,456,42,158,12,1,669,230,26,98,18,0,372
5.45-6.00,628,56,336,32,1,1053,460,46,168,12,0,686,226,30,102,21,0,379
6.00-6.15,627,54,328,30,0,1039,468,44,172,10,2,696,236,32,115,17,0,400
6.15-6.30,636,52,335,28,2,1053,477,45,178,11,0,711,225,40,116,15,1,397
6.30-6.45,642,56,326,29,2,1055,489,47,184,12,2,734,232,35,108,14,0,389
6.45-7.00,648,64,315,30,3,1060,490,49,189,12,0,740,242,29,96,21,1,389
7.00-7.15,672,66,325,32,2,1097,469,49,194,13,2,727,246,39,88,18,0,391
7.15-7.30,649,72,342,31,2,1096,498,53,198,15,0,764,247,42,80,24,0,393
7.30-7.45,650,65,320,25,1,1061,491,52,179,12,1,735,235,38,75,25,1,374
7.45-8.00,681,45,344,19,2,1091,455,42,188,14,3,702,234,39,79,10,0,362
7.00-7.15,760,50,288,24,2,1124,287,30,104,15,1,437,289,29,102,6,0,426
7.15-7.30,785,58,295,26,2,1166,278,28,112,15,2,435,280,28,112,8,2,430
7.30-7.45,802,64,304,26,1,1197,294,26,110,17,2,449,292,27,108,11,0,438
7.45-8.00,815,58,306,24,2,1205,294,25,101,15,2,437,294,25,114,12,0,445
8.00-8.15,798,60,293,26,1,1178,298,29,111,15,2,455,298,31,115,15,2,461
8.15-8.30,811,57,296,28,0,1192,301,29,108,18,2,458,305,32,108,18,2,465
8.30-8.45,815,68,308,29,0,1220,306,29,113,21,1,470,306,29,121,21,0,477
8.45-9.00,839,72,324,28,3,1266,320,33,128,24,0,505,321,33,128,24,0,506
9.00-9.15,833,65,318,28,2,1246,315,35,129,26,2,507,318,35,132,27,2,514
9.15-9.30,858,70,301,24,3,1256,311,38,129,25,2,505,315,38,131,25,2,511
9.30-9.45,754,62,296,26,2,1140,289,28,120,25,1,463,289,28,120,28,3,468
9.45-10.00,620,68,316,19,2,1025,280,39,111,21,2,453,300,39,89,22,1,451
5.00-5.15,600,56,318,18,0,992,470,47,159,12,0,688,227,27,87,15,0,356
5.15-5.30,612,54,320,24,0,1010,478,44,162,14,2,700,239,28,94,16,0,377
5.30-5.45,623,62,321,26,2,1034,456,41,168,12,2,679,230,26,100,18,1,375
5.45-6.00,628,56,336,32,0,1052,460,45,169,15,1,690,226,29,102,17,0,374
