Time,Two Wheeler,Auto,Car,Bus,LMV,Total
7.00-7.15,780,55,288,24,2,1149
7.15-7.30,795,58,292,26,3,1174
7.30-7.45,802,64,304,26,1,1197
7.45-8.00,815,68,306,28,2,1219
8.00-8.15,798,60,280,30,1,1169
8.15-8.30,811,65,292,31,0,1199
8.30-8.45,830,68,308,32,0,1238
8.45-9.00,839,72,324,28,3,1266
9.00-9.15,845,78,318,28,2,1271
9.15-9.30,858,70,301,28,3,1260
9.30-9.45,754,60,296,26,2,1138
9.45-10.00,620,68,316,5,4,1013
5.00-5.15,600,56,318,18,0,992
5.15-5.30,612,54,320,24,0,1010
5.30-5.45,623,62,321,26,2,1034
5.45-6.00,628,56,336,32,0,1052
6.00-6.15,619,48,328,30,0,1025
6.15-6.30,636,52,335,28,2,1053
6.30-6.45,642,56,326,29,2,1055
6.45-7.00,648,64,315,30,0,1057
7.00-7.15,672,66,319,32,0,1089
7.15-7.30,649,72,342,31,1,1095
7.30-7.45,650,65,304,25,1,1045
7.45-8.00,681,39,344,19,2,1085
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
