,,1,2,3,4,5,6
,Time,MON,TUE,WED,THU,FRI,SAT
1,7.00-7.15,437,428,403,426,437,456
2,7.15-7.30,440,429,413,430,444,456
3,7.30-7.45,443,441,420,438,442,447
4,7.45-8.00,435,444,436,445,447,485
5,8.00-8.15,456,461,456,461,469,491
6,8.15-8.30,472,464,444,465,464,496
7,8.30-8.45,485,477,455,477,459,494
8,8.45-9.00,492,491,490,506,497,509
9,9.00-9.15,497,513,493,514,400,533
10,9.15-9.30,509,509,496,511,497,518
11,9.30-9.45,460,452,481,468,444,503
12,9.45-10.00,472,467,550,451,458,417
13,5.00-5.15,354,357,355,356,355,349
14,5.15-5.30,362,367,357,377,357,377
15,5.30-5.45,371,373,372,375,372,372
16,5.45-6.00,378,374,379,374,379,389
17,6.00-6.15,400,370,400,390,400,392
18,6.15-6.30,391,349,397,378,397,384
19,6.30-6.45,390,381,389,389,389,374
20,6.45-7.00,387,387,389,394,389,389
21,7.00-7.15,391,389,391,391,391,381
22,7.15-7.30,372,381,393,380,395,374
23,7.30-7.45,371,373,374,385,374,383
24,7.45-8.00,366,378,362,373,363,372
